cohort,method,events,mse,mse_h_n,mse_h_r,mse_h_k,cosine,corr_h_n,corr_h_r,corr_h_k
inclusive,global_gaussian,56262,0.2234805901981532,0.2442872895228918,0.2539297078769772,0.1722247731946251,0.5677166576366721,0.5583826267265685,0.5269922299614392,0.6839479238427301
inclusive,matched_shuffle,56262,0.22186878808972735,0.24300284420248633,0.251841372497478,0.17076214756925157,0.5647232785050831,0.5583853692115515,0.5288584099755604,0.6850094635869003
inclusive,oracle_direction,56262,0.21654803331041586,0.23737157657227162,0.2458916582554119,0.16638086510359687,0.5801189805357508,0.571053044964527,0.5432298728394084,0.6941426442940604
inclusive,sv,56262,0.2200835441833519,0.24102916294793522,0.24992301308825865,0.1692984565138965,0.570419209833954,0.5633539772003157,0.5340527819591482,0.6884449856826182
inclusive,uniform,56262,0.2218668219155956,0.243000532615786,0.25184102235521644,0.17075891077581787,0.5647119349484849,0.5583826416515919,0.5288481654769681,0.6850055361634465
inclusive,point_h,56262,0.19177003059783854,0.2142941977482696,0.22991492250015075,0.13110097154513153,0.6237514768848358,0.6200099908050798,0.5815880971448308,0.7604142382465386
inclusive,exact_h,56262,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.9999999999999998
one_sv,global_gaussian,18424,0.21263914396257527,0.22740879094738453,0.2359531785734576,0.17455546236690594,0.5946168717074772,0.5930163186376949,0.5703119939280683,0.6807273682424436
one_sv,matched_shuffle,18424,0.2086159348379225,0.22448728216146013,0.23039677772914924,0.1709637446231792,0.5874417099478301,0.5940275629604178,0.5772590075688196,0.6841617751593524
one_sv,oracle_direction,18424,0.19579001131395016,0.21076561349767578,0.21628618198783553,0.16031823845635843,0.6244250876852324,0.6243874511090063,0.6099226872848005,0.7066180042212337
one_sv,sv,18424,0.20425922662040671,0.21942320996498366,0.22594741040927868,0.16740705948697757,0.6012225820129825,0.6061362208181398,0.5884725657270676,0.6923924576121148
one_sv,uniform,18424,0.2086224195567692,0.22447206185312757,0.23043218113087577,0.17096301568632546,0.5873978349366751,0.5940497899496744,0.5771615512676279,0.684140876949703
one_sv,point_h,18424,0.1937699986778401,0.21098568760838016,0.2210814029571572,0.14924290546800226,0.6146190923528649,0.6248552825714229,0.6010168966204052,0.7258465613648688
one_sv,exact_h,18424,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998
both_sv,global_gaussian,2368,0.1929010522974088,0.19745077479865525,0.2032377036716733,0.17801467842190025,0.6346961968231071,0.6494815587312621,0.6416985696774297,0.67753058689369
both_sv,matched_shuffle,2368,0.18590797572998718,0.18966378799762645,0.1968513878077184,0.17120875138461916,0.6194012996771066,0.6598003267884622,0.6484711905687021,0.6887688245806051
both_sv,oracle_direction,2368,0.15928150174858693,0.1626290093027089,0.16527655387646012,0.14993894206659428,0.6974465852410947,0.718216999107272,0.7167375665050386,0.7346135386857926
both_sv,sv,2368,0.1773888032380176,0.18217105632715172,0.18589041078907667,0.16410494259782746,0.6475118155118064,0.6766365601962477,0.6728066611703425,0.7043856743598863
both_sv,uniform,2368,0.18581080708597247,0.18972728650684542,0.19656761585782342,0.17113751889325132,0.6194731501940783,0.6596469347048518,0.6490831373482522,0.6889296293387354
both_sv,point_h,2368,0.19654316604085756,0.20005311588942898,0.2087704627575542,0.18080591947559288,0.5986878344042604,0.6406962005056016,0.6257332827796596,0.665884593296077
both_sv,exact_h,2368,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
threeprong_containing,global_gaussian,20752,0.21084752366092505,0.2242221021293954,0.23241691085844582,0.17590355799495747,0.5974547577435817,0.598214766155205,0.5776420644647215,0.6792330138616655
threeprong_containing,matched_shuffle,20752,0.20680600529081292,0.22110814652335467,0.2269766689783833,0.17233320037072206,0.5891965500344913,0.5993604644482657,0.5840115719064055,0.6825393908324535
threeprong_containing,oracle_direction,20752,0.19246878042018767,0.20591887458301272,0.2110187124294664,0.16046875424810483,0.6306442516670695,0.6329587360820155,0.6206972056129197,0.7075674528277451
threeprong_containing,sv,20752,0.2019855021670585,0.21579895869588317,0.2218487270886486,0.16830882071666606,0.6045617900621271,0.6120751293412738,0.5967260750173334,0.6917840681294576
threeprong_containing,uniform,20752,0.20679796869867292,0.22109946661670535,0.22697670359345842,0.17231773588587593,0.5891658311952092,0.599365864968826,0.5839942789650113,0.6825496323741475
threeprong_containing,point_h,20752,0.19564784245288683,0.21095026213789572,0.2210710190960351,0.15492224612474986,0.6089197396164369,0.6233147801310727,0.6002061420784667,0.7157498193952764
threeprong_containing,exact_h,20752,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,0.9999999999999998
threeprong_x_threeprong,global_gaussian,2357,0.19549603210626917,0.20065928827891166,0.20485783809491806,0.18097096994498033,0.6274604223726361,0.6408116175692344,0.6376729846686693,0.6735450672767194
threeprong_x_threeprong,matched_shuffle,2357,0.18852378347461277,0.19262302864215722,0.1982385345242741,0.17470978725740913,0.6133484149381578,0.6513785070413269,0.6447903214674227,0.6832685821011776
threeprong_x_threeprong,oracle_direction,2357,0.16220153886243852,0.16599598035668042,0.16715841542527102,0.15345022080536605,0.6906224344812562,0.7095382808012299,0.712130586225399,0.7289616328176991
threeprong_x_threeprong,sv,2357,0.18013317369462595,0.18508600656993876,0.1876218191543505,0.16769169535959202,0.6407692537003817,0.6685856216264975,0.6685243135723953,0.6987539782697341
threeprong_x_threeprong,uniform,2357,0.18841440779036964,0.1926941364661711,0.197911631912401,0.1746374549925394,0.6134453210966895,0.651206312880174,0.645496560677117,0.6834271987601406
threeprong_x_threeprong,point_h,2357,0.19906394797133414,0.20390965078415504,0.20996689514134087,0.18331529798850993,0.5919852826399769,0.630299716170182,0.6224167759212579,0.6631279745682986
threeprong_x_threeprong,exact_h,2357,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
exact_surface_valid,global_gaussian,23887,0.21128150855807115,0.234632663395217,0.24633673373100465,0.1528751285480166,0.5903419086555223,0.5908929649969722,0.5546928875548901,0.7061291247952853
exact_surface_valid,matched_shuffle,23887,0.21024675343198188,0.23402041732317297,0.2449439964446695,0.15177584652812426,0.5862605260069762,0.5902863439255447,0.555805836665062,0.7074715016769914
exact_surface_valid,oracle_direction,23887,0.20490520900813017,0.22831659937207038,0.2389499698386874,0.147449057813654,0.60198291410258,0.6026490607627788,0.5698152886576776,0.7171794556061435
exact_surface_valid,sv,23887,0.20832165247341608,0.231906576686368,0.24279915967803264,0.15025922105586922,0.5924123527644022,0.5952096345854531,0.5612127213440987,0.7110860636238119
exact_surface_valid,uniform,23887,0.21023751859804812,0.2340192225592689,0.24493922920839808,0.15175410402649786,0.5862480493357752,0.5902817648609415,0.5558105762871042,0.7075223946152183
exact_surface_valid,point_h,23887,0.19309757956049145,0.21872212362086688,0.23325850343369942,0.12731211162692688,0.6227313145043966,0.6232978056278128,0.5847805197340473,0.7527279539934234
exact_surface_valid,exact_h,23887,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998
exact_surface_invalid,global_gaussian,32375,0.2324813458162733,0.25141068888386964,0.25953197423758284,0.18650137432739206,0.5510232407691116,0.5336786207257127,0.505966162513606,0.6728248379706668
exact_surface_invalid,matched_shuffle,32375,0.23044378552199185,0.24963027990490655,0.25693041100784986,0.18477066565324243,0.548832614996891,0.5341382488485045,0.508361770308288,0.6736781341602633
exact_surface_invalid,oracle_direction,32375,0.22513836980798174,0.24405254152612435,0.25101339142020057,0.18034917647764317,0.563987280733099,0.547039787893086,0.5230163206111328,0.6824970491053498
exact_surface_invalid,sv,32375,0.2287617312806564,0.24776001138128972,0.2551791516646285,0.18334603079607828,0.5541921764693329,0.5391525318474074,0.5133910931886104,0.6770295704671411
exact_surface_invalid,uniform,32375,0.23044718232783518,0.24962714430133856,0.2569333198964627,0.18478108278572714,0.5488221074776214,0.5341381591900607,0.5083396026489991,0.6736456248586807
exact_surface_invalid,point_h,32375,0.19079053524429754,0.21102717488127345,0.22744795361180792,0.1338964772398354,0.6245041755344588,0.6174816002497812,0.5791342847718982,0.7643445419587438
exact_surface_invalid,exact_h,32375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
