sample,score_tertile,q1,q2,track_cohort_events,collinear_valid_events,physical_map_events,collinear_valid_fraction,physical_map_fraction
H,low,0.4749241636859046,0.5695782634947035,293,174,165,0.5938566552901023,0.5631399317406144
H,middle,0.4749241636859046,0.5695782634947035,293,185,177,0.6313993174061433,0.6040955631399317
H,high,0.4749241636859046,0.5695782634947035,293,154,149,0.5255972696245734,0.5085324232081911
Z,low,0.4076567358440823,0.5105925136142306,336,178,164,0.5297619047619048,0.4880952380952381
Z,middle,0.4076567358440823,0.5105925136142306,336,200,192,0.5952380952380952,0.5714285714285714
Z,high,0.4076567358440823,0.5105925136142306,336,195,190,0.5803571428571429,0.5654761904761905
