11548053 45 4 0 139.0 1709
11548053 49 4 0 133.0 1465
11548053 48 4 0 133.0 1465
11548053 42 4 0 138.0 1465
11548053 41 4 0 138.0 1709
11548053 46 4 0 135.0 1709
11548053 44 4 0 134.0 1709
11548053 47 4 0 132.0 1709
11548053 43 4 0 130.0 1465
11548053 39 4 0 136.0 1709
11548053 38 4 0 137.0 1709
11548053 37 4 0 137.0 1709
11548053 40 4 0 133.0 1709
11548053 35 4 0 137.0 1465
11548053 36 4 0 136.0 1709
11548053 34 4 0 136.0 1465
11548053 33 4 0 131.0 1709
11548053 31 4 0 134.0 1709
11548053 30 4 0 132.0 1709
11548053 29 4 0 133.0 1465
11548053 32 4 0 130.0 1709
11548053 27 4 0 133.0 1709
11548053 28 4 0 130.0 1709
11548053 23 4 0 133.0 1709
11548053 24 4 0 133.0 1465
11548053 25 4 0 131.0 1709
11548053 26 4 0 130.0 1709
11548053 22 4 0 133.0 1709
11548053 21 4 0 135.0 1465
11548053 19 4 0 140.0 1465
11548053 16 4 0 133.0 1709
11548053 17 4 0 132.0 1709
11548053 18 4 0 132.0 1709
11548053 15 4 0 134.0 1709
11548053 14 4 0 135.0 1709
11548053 20 4 0 123.0 1465
11548053 12 4 0 140.0 1465
11548053 10 4 0 136.0 1465
11548053 13 4 0 134.0 1709
11548053 9 4 0 136.0 1709
11548053 11 4 0 131.0 1709
11548053 6 4 0 135.0 1709
11548053 7 4 0 135.0 1709
11548053 8 4 0 131.0 1709
11548053 2 4 0 139.0 1709
11548053 4 4 0 137.0 1465
11548053 5 4 0 137.0 1709
11548052 48 4 0 138.0 1709
11548052 49 4 0 131.0 1709
11548053 1 4 0 131.0 1709
11548053 0 4 0 130.0 1709
11548053 3 4 0 129.0 1709
11548052 47 4 0 135.0 1709
11548052 46 4 0 138.0 1709
11548052 45 4 0 142.0 1709
11548052 43 4 0 141.0 1709
11548052 44 4 0 140.0 1709
11548052 40 4 0 141.0 1709
11548052 42 4 0 139.0 1709
11548052 41 4 0 140.0 1709
11548052 39 4 0 137.0 1709
11548052 34 4 0 153.0 1709
11548052 38 4 0 148.0 1709
11548052 33 4 0 151.0 1709
11548052 36 4 0 149.0 1709
11548052 27 4 0 154.0 1465
11548052 35 4 0 147.0 1709
11548052 30 4 0 152.0 1709
11548052 28 4 0 150.0 1709
11548052 31 4 0 149.0 1709
11548052 37 4 0 142.0 1709
11548052 29 4 0 147.0 1709
11548052 26 4 0 142.0 1709
11548052 32 4 0 140.0 1709
11548052 25 4 0 136.0 1709
11548052 24 4 0 142.0 1709
11548052 21 4 0 140.0 1709
11548052 23 4 0 136.0 1709
11548052 20 4 0 133.0 1709
11548052 22 4 0 132.0 1709
11548052 18 4 0 139.0 1709
11548052 19 4 0 136.0 1709
11548052 17 4 0 136.0 1709
11548052 16 4 0 136.0 1709
11548052 13 4 0 142.0 1709
11548052 14 4 0 140.0 1709
11548052 15 4 0 133.0 1709
11548052 12 4 0 136.0 1709
11548052 11 4 0 135.0 1709
11548052 10 4 0 135.0 1709
11548052 9 4 0 134.0 1709
11548052 7 4 0 148.0 1709
11548052 1 4 0 147.0 1709
11548052 6 4 0 146.0 1709
11548052 2 4 0 146.0 1709
11548052 3 4 0 145.0 1709
11548052 4 4 0 145.0 1709
11548052 8 4 0 140.0 1709
11548052 5 4 0 141.0 1709
11548052 0 4 0 138.0 1709
11548060 0 4 0 127.0 1465
